INCIDENT_TYPE,HUNDRED_BLOCK,MONTH,YEAR,Latitude,Longitude
Fatal/Injury Collision,152ND ST / 112TH AVE,1,2016,0,0
Fatal/Injury Collision,182ND ST / 60TH AVE,1,2016,0,0
Fatal/Injury Collision,98TH AVE / KING GEORGE BLVD,1,2016,0,0
Fatal/Injury Collision,8200 159TH ST,1,2016,0,0
Fatal/Injury Collision,15500 80TH AVE,1,2016,0,0
Fatal/Injury Collision,14800 24TH AVE,1,2016,0,0
Fatal/Injury Collision,176TH ST OFRP / TRANS CANADA HWY,1,2016,0,0
Fatal/Injury Collision,150TH ST / 104TH AVE,1,2016,0,0
Fatal/Injury Collision,64TH AVE / 184TH ST,1,2016,0,0
Fatal/Injury Collision,12000 68TH AVE,1,2016,0,0
Fatal/Injury Collision,9400 128TH ST,1,2016,0,0
Fatal/Injury Collision,88TH AVE / 164TH ST,1,2016,0,0
Fatal/Injury Collision,152ND ST / 82ND AVE,1,2016,0,0
Fatal/Injury Collision,KING GEORGE BLVD / 152ND ST,1,2016,0,0
Fatal/Injury Collision,177B ST / 56TH AVE,1,2016,0,0
Fatal/Injury Collision,KING GEORGE BLVD / 104TH AVE,1,2016,0,0
Fatal/Injury Collision,64TH AVE / 177B ST,1,2016,0,0
Fatal/Injury Collision,10300 152ND ST,1,2016,0,0
Fatal/Injury Collision,KING GEORGE BLVD / 102ND AVE,1,2016,0,0
Fatal/Injury Collision,180TH ST / 64TH AVE,1,2016,0,0
Fatal/Injury Collision,151ST ST / 100TH AVE,1,2016,0,0
Fatal/Injury Collision,156B ST / 40TH AVE,1,2016,0,0
Fatal/Injury Collision,152ND ST / 76TH AVE,1,2016,0,0
Fatal/Injury Collision,12600 94TH AVE,1,2016,0,0
Fatal/Injury Collision,3900 159TH ST,1,2016,0,0
Fatal/Injury Collision,15700 114TH AVE,1,2016,0,0
Fatal/Injury Collision,15700 114TH AVE,1,2016,0,0
Fatal/Injury Collision,1700 148TH ST,1,2016,0,0
Fatal/Injury Collision,7200 BLOCK 130A ST,1,2016,0,0
Fatal/Injury Collision,8600 148TH ST,1,2016,0,0
Fatal/Injury Collision,OLD YALE RD / SCOTT RD,1,2016,0,0
Fatal/Injury Collision,88TH AVE / 176TH ST,1,2016,0,0
Fatal/Injury Collision,88TH AVE / 142A ST,1,2016,0,0
Fatal/Injury Collision,152ND ST / 100TH AVE,1,2016,0,0
Fatal/Injury Collision,10300 152ND ST,1,2016,0,0
Fatal/Injury Collision,14600 80A AVE,1,2016,0,0
Fatal/Injury Collision,KING GEORGE BLVD / 104TH AVE,1,2016,0,0
Fatal/Injury Collision,UNIVERSITY DR / KING GEORGE BLVD,1,2016,0,0
Fatal/Injury Collision,124TH ST / 99TH AVE,1,2016,0,0
Fatal/Injury Collision,58TH AVE / 132ND ST,1,2016,0,0
Fatal/Injury Collision,64TH AVE / 176TH ST,1,2016,0,0
Fatal/Injury Collision,26TH AVE / 160TH ST,1,2016,0,0
Fatal/Injury Collision,132ND ST / 68TH AVE,1,2016,0,0
Fatal/Injury Collision,15800 114TH AVE,1,2016,0,0
Fatal/Injury Collision,11300 158A ST,1,2016,0,0
Fatal/Injury Collision,14800 70A AVE,1,2016,0,0
Fatal/Injury Collision,12500 110TH AVE,1,2016,0,0
Fatal/Injury Collision,11400 139TH ST,1,2016,0,0
Fatal/Injury Collision,10300 152ND ST,1,2016,0,0
Fatal/Injury Collision,9000 158TH ST,1,2016,0,0
Fatal/Injury Collision,167TH ST / 85TH AVE,1,2016,0,0
Fatal/Injury Collision,98TH AVE / 157TH ST,1,2016,0,0
Fatal/Injury Collision,16100 BLOCK 40TH AVE,1,2016,0,0
Fatal/Injury Collision,16300 111A AVE,1,2016,0,0
Fatal/Injury Collision,128TH ST / 102ND AVE,1,2016,0,0
Fatal/Injury Collision,102ND AVE / CITY PKWY,1,2016,0,0
Fatal/Injury Collision,104TH AVE / KING GEORGE BLVD,1,2016,0,0
Fatal/Injury Collision,129A ST / 76TH AVE,1,2016,0,0
Fatal/Injury Collision,100TH AVE / KING GEORGE BLVD,1,2016,0,0
Fatal/Injury Collision,187TH ST / HARVIE RD,1,2016,0,0
Fatal/Injury Collision,96TH AVE / 137B ST,1,2016,0,0
Fatal/Injury Collision,176TH ST / 104TH AVE,1,2016,0,0
Fatal/Injury Collision,140TH ST / 96TH AVE,1,2016,0,0
Fatal/Injury Collision,100TH AVE / KING GEORGE BLVD,1,2016,0,0
Fatal/Injury Collision,8200 129TH ST,1,2016,0,0
Fatal/Injury Collision,15500 34TH AVE,1,2016,0,0
Fatal/Injury Collision,4400 BLOCK 152ND ST,1,2016,0,0
Fatal/Injury Collision,106TH AVE / 157TH ST,1,2016,0,0
Fatal/Injury Collision,KING GEORGE BLVD / 24TH AVE,1,2016,0,0
Fatal/Injury Collision,8TH AVE / 188TH ST,1,2016,0,0
Fatal/Injury Collision,188TH ST / 80TH AVE,1,2016,0,0
Fatal/Injury Collision,129TH ST / 84TH AVE,1,2016,0,0
Fatal/Injury Collision,HWY 17 / 176TH ST,1,2016,0,0
Fatal/Injury Collision,152ND ST / 26TH AVE,1,2016,0,0
Fatal/Injury Collision,12000 100A AVE,1,2016,0,0
Fatal/Injury Collision,13900 LAUREL DR,1,2016,0,0
Fatal/Injury Collision,96TH AVE / 137B ST,1,2016,0,0
Fatal/Injury Collision,129A ST / 76TH AVE,1,2016,0,0
Fatal/Injury Collision,122ND ST / 96TH AVE,1,2016,0,0
Fatal/Injury Collision,176TH ST / FRASER HWY,1,2016,0,0
Fatal/Injury Collision,141ST ST / 100TH AVE,1,2016,0,0
Fatal/Injury Collision,56TH AVE / 160TH ST,1,2016,0,0
Fatal/Injury Collision,126TH ST / 72ND AVE,1,2016,0,0
Fatal/Injury Collision,144TH ST / 108TH AVE,1,2016,0,0
Fatal/Injury Collision,FRASER HWY / 176TH ST,1,2016,0,0
Fatal/Injury Collision,OLD YALE RD / MALL ACCESS,1,2016,0,0
Fatal/Injury Collision,141ST ST / 100TH AVE,1,2016,0,0
Fatal/Injury Collision,15200 105TH AVE,1,2016,0,0
Fatal/Injury Collision,19300 96TH AVE,1,2016,0,0
Fatal/Injury Collision,10000 WHALLEY BLVD,1,2016,0,0
Fatal/Injury Collision,78TH AVE / KING GEORGE BLVD,1,2016,0,0
Fatal/Injury Collision,10200 KING GEORGE BLVD,1,2016,0,0
Fatal/Injury Collision,16400 BLOCK 56TH AVE,1,2016,0,0
Fatal/Injury Collision,14900 105TH AVE,1,2016,0,0
Fatal/Injury Collision,188TH ST / 68TH AVE,1,2016,0,0
Fatal/Injury Collision,102ND AVE / 140TH ST,1,2016,0,0
Fatal/Injury Collision,138TH ST / 74TH AVE,1,2016,0,0
Fatal/Injury Collision,176TH ST / 56TH AVE,1,2016,0,0
Fatal/Injury Collision,10300 KING GEORGE BLVD,1,2016,0,0
Fatal/Injury Collision,17800 56TH AVE,1,2016,0,0
Fatal/Injury Collision,FRASER HWY / 176TH ST,1,2016,0,0
Fatal/Injury Collision,HWY 17 / BRIDGEVIEW DR,1,2016,0,0
