INCIDENT_TYPE,HUNDRED_BLOCK,MONTH,YEAR,Latitude,Longitude
Fatal/Injury Collision,12700 67A AVE ,1,2013,0,0
Fatal/Injury Collision,13900 FRASER HWY ,1,2013,0,0
Fatal/Injury Collision,14200 88TH AVE ,1,2013,0,0
Fatal/Injury Collision,14300 57TH AVE ,1,2013,0,0
Fatal/Injury Collision,11000 SCOTT RD ,1,2013,0,0
Fatal/Injury Collision,6300 175B ST ,1,2013,0,0
Fatal/Injury Collision,13300 98A AVE ,1,2013,0,0
Fatal/Injury Collision,1700 152ND ST ,1,2013,0,0
Fatal/Injury Collision,6100 KING GEORGE BLVD,1,2013,0,0
Fatal/Injury Collision,10100 KING GEORGE BLVD,1,2013,0,0
Fatal/Injury Collision,15000 101ST AVE ,1,2013,0,0
Fatal/Injury Collision,8400 120TH ST ,1,2013,0,0
Fatal/Injury Collision,14700 108TH AVE ,1,2013,0,0
Fatal/Injury Collision,3600 KING GEORGE BLVD,1,2013,0,0
Fatal/Injury Collision,9200 138TH ST ,1,2013,0,0
Fatal/Injury Collision,10800 CITY PKWY ,1,2013,0,0
Fatal/Injury Collision,13300 OLD YALE RD,1,2013,0,0
Fatal/Injury Collision,7300  138TH ST,1,2013,0,0
Fatal/Injury Collision,12700 67A AVE ,1,2013,0,0
Fatal/Injury Collision,9600 128TH ST ,1,2013,0,0
Fatal/Injury Collision,8400 148A ST ,1,2013,0,0
Fatal/Injury Collision,12900 100TH AVE ,1,2013,0,0
Fatal/Injury Collision,13000 60A AVE ,1,2013,0,0
Fatal/Injury Collision,18000 72ND AVE ,1,2013,0,0
Fatal/Injury Collision,19300 96TH AVE ,1,2013,0,0
Fatal/Injury Collision,10400 152ND ST ,1,2013,0,0
Fatal/Injury Collision,13000  COLEBROOK RD,1,2013,0,0
Fatal/Injury Collision,10500  150TH ST,1,2013,0,0
Fatal/Injury Collision,7500 KING GEORGE BLVD,1,2013,0,0
Fatal/Injury Collision,12900 59TH AVE ,1,2013,0,0
Fatal/Injury Collision,11600 97A AVE ,1,2013,0,0
Fatal/Injury Collision,11600 97A AVE ,1,2013,0,0
Fatal/Injury Collision,6000 176TH ST ,1,2013,0,0
Fatal/Injury Collision,6000 176TH ST ,1,2013,0,0
Fatal/Injury Collision,17700 60TH AVE ,1,2013,0,0
Fatal/Injury Collision,8900 160TH ST ,1,2013,0,0
Fatal/Injury Collision,19200  56TH AVE,1,2013,0,0
Fatal/Injury Collision,1900  184TH ST,1,2013,0,0
Fatal/Injury Collision,7300 130TH ST ,1,2013,0,0
Fatal/Injury Collision,13200 90TH AVE ,1,2013,0,0
Fatal/Injury Collision,9000 149TH ST ,1,2013,0,0
Fatal/Injury Collision,13700 96TH AVE ,1,2013,0,0
Fatal/Injury Collision,12700 98TH AVE ,1,2013,0,0
Fatal/Injury Collision,15500 FRASER HWY ,1,2013,0,0
Fatal/Injury Collision,124TH ST / 73RD AVE,1,2013,0,0
Fatal/Injury Collision,168TH ST / 86TH AVE,1,2013,0,0
Fatal/Injury Collision,104TH AVE / 104A AVE,1,2013,0,0
Fatal/Injury Collision,88TH AVE / 132ND ST,1,2013,0,0
Fatal/Injury Collision,152ND ST / 84TH AVE,1,2013,0,0
Fatal/Injury Collision,58TH AVE / 176TH ST,1,2013,0,0
Fatal/Injury Collision,58TH AVE / KING GEORGE BLVD,1,2013,0,0
Fatal/Injury Collision,WHALLEY BLVD / 102ND AVE,1,2013,0,0
Fatal/Injury Collision,146TH ST / 76A AVE,1,2013,0,0
Fatal/Injury Collision,106TH AVE / 135A ST,1,2013,0,0
Fatal/Injury Collision,196TH ST / 64TH AVE,1,2013,0,0
Fatal/Injury Collision,191ST ST / 72ND AVE,1,2013,0,0
Fatal/Injury Collision,40TH AVE / 152ND ST,1,2013,0,0
Fatal/Injury Collision,OLD YALE RD / SCOTT RD,1,2013,0,0
Fatal/Injury Collision,0TH AVE / 194TH ST,1,2013,0,0
Fatal/Injury Collision,120TH ST / SUNWOOD DR,1,2013,0,0
Fatal/Injury Collision,104TH AVE / 152ND ST,1,2013,0,0
Fatal/Injury Collision,72ND AVE / 137TH ST,1,2013,0,0
Fatal/Injury Collision,160TH ST / FRASER HWY,1,2013,0,0
Fatal/Injury Collision,100TH AVE / WHALLEY BLVD,1,2013,0,0
Fatal/Injury Collision,168TH ST / FRASER HWY,1,2013,0,0
Fatal/Injury Collision,100TH AVE / 176TH ST,1,2013,0,0
Fatal/Injury Collision,88TH AVE / 152ND ST,1,2013,0,0
Fatal/Injury Collision,NORTH BLUFF RD / 138A ST,1,2013,0,0
Fatal/Injury Collision,64TH AVE / KING GEORGE BLVD,1,2013,0,0
Fatal/Injury Collision,134TH ST / 96TH AVE,1,2013,0,0
Fatal/Injury Collision,84TH AVE / 132ND ST,1,2013,0,0
Fatal/Injury Collision,56TH AVE / 132ND ST,1,2013,0,0
Fatal/Injury Collision,84A AVE / 148TH ST,1,2013,0,0
Fatal/Injury Collision,88TH AVE / 138A ST,1,2013,0,0
Fatal/Injury Collision,168TH ST / 64TH AVE,1,2013,0,0
Fatal/Injury Collision,68A AVE / 188TH ST,1,2013,0,0
Fatal/Injury Collision,176TH ST / 24TH AVE,1,2013,0,0
Fatal/Injury Collision,84TH AVE / 146TH ST,1,2013,0,0
Fatal/Injury Collision,124TH ST / 82ND AVE,1,2013,0,0
Fatal/Injury Collision,128TH ST / 72ND AVE,1,2013,0,0
Fatal/Injury Collision,126A ST / 113TH AVE,1,2013,0,0
Fatal/Injury Collision,128TH ST / 76TH AVE,1,2013,0,0
Fatal/Injury Collision,KING GEORGE BLVD / UNIVERSITY DR,1,2013,0,0
Fatal/Injury Collision,128TH ST / 82ND AVE,1,2013,0,0
Fatal/Injury Collision,192ND ST / 56TH AVE,1,2013,0,0
Fatal/Injury Collision,108TH AVE / 141A ST,1,2013,0,0
Fatal/Injury Collision,KING GEORGE BLVD ONRP / HWY 99,1,2013,0,0
Fatal/Injury Collision,120TH ST / NORDEL WAY,1,2013,0,0
Fatal/Injury Collision,128TH ST / 96TH AVE,1,2013,0,0
Fatal/Injury Collision,149TH ST / 101A AVE,1,2013,0,0
Fatal/Injury Collision,132ND ST / 58TH AVE,1,2013,0,0
Fatal/Injury Collision,176TH ST / 88TH AVE,1,2013,0,0
Fatal/Injury Collision,192ND ST / GOLDEN EARS WAY,1,2013,0,0
Fatal/Injury Collision,32ND AVE / 184TH ST,1,2013,0,0
Fatal/Injury Collision,150A ST / 73RD AVE,1,2013,0,0
Fatal/Injury Collision,72ND AVE / 128TH ST,1,2013,0,0
Fatal/Injury Collision,56TH AVE / 128TH ST,1,2013,0,0
Fatal/Injury Collision,120TH ST / 75A AVE,1,2013,0,0
Fatal/Injury Collision,100TH AVE / 151ST ST,1,2013,0,0
Fatal/Injury Collision,108TH AVE / 128TH ST,1,2013,0,0
Fatal/Injury Collision,146TH ST / 64TH AVE,1,2013,0,0
Fatal/Injury Collision,120TH ST / SCOTT RD,1,2013,0,0
Fatal/Injury Collision,65A AVE / 134TH ST,1,2013,0,0
Fatal/Injury Collision,96TH AVE / 148TH ST,1,2013,0,0
Fatal/Injury Collision,76TH AVE / 128TH ST,1,2013,0,0
Fatal/Injury Collision,190TH ST / 69A AVE,1,2013,0,0
Fatal/Injury Collision,179TH ST / DALY RD,1,2013,0,0
Fatal/Injury Collision,100TH AVE / SCOTT RD,1,2013,0,0
Fatal/Injury Collision,102ND AVE / CITY PKWY,1,2013,0,0
Fatal/Injury Collision,168TH ST / 24TH AVE,1,2013,0,0
Fatal/Injury Collision,132ND ST / 56TH AVE,1,2013,0,0
Fatal/Injury Collision,64TH AVE / 144TH ST,1,2013,0,0
Fatal/Injury Collision,128TH ST / KING GEORGE BLVD,1,2013,0,0
Fatal/Injury Collision,176TH ST / 96TH AVE,1,2013,0,0
Fatal/Injury Collision,8TH AVE / 168TH ST,1,2013,0,0
Fatal/Injury Collision,138TH ST / 74TH AVE,1,2013,0,0
Fatal/Injury Collision,24TH AVE / KING GEORGE BLVD,1,2013,0,0
Fatal/Injury Collision,128TH ST / 72ND AVE,1,2013,0,0
Fatal/Injury Collision,FRASER HWY / 152ND ST,1,2013,0,0
Fatal/Injury Collision,FRASER HWY / 152ND ST,1,2013,0,0
Fatal/Injury Collision,76TH AVE / KING GEORGE BLVD,1,2013,0,0
Fatal/Injury Collision,148TH ST / 96TH AVE,1,2013,0,0
Fatal/Injury Collision,134TH ST / 98TH AVE,1,2013,0,0
Fatal/Injury Collision,74TH AVE / KING GEORGE BLVD,1,2013,0,0
Fatal/Injury Collision,132ND ST / 72ND AVE,1,2013,0,0
Fatal/Injury Collision,135TH ST / 112TH AVE,1,2013,0,0
Fatal/Injury Collision,140TH ST / 104TH AVE,1,2013,0,0
Fatal/Injury Collision,177B ST / 56TH AVE,1,2013,0,0
Fatal/Injury Collision,112TH AVE / 135A ST,1,2013,0,0
Fatal/Injury Collision,138TH ST / 112TH AVE,1,2013,0,0
Fatal/Injury Collision,138TH ST / 74TH AVE,1,2013,0,0
Fatal/Injury Collision,103RD AVE / 138A ST,1,2013,0,0
Fatal/Injury Collision,96TH AVE / 132ND ST,1,2013,0,0
Fatal/Injury Collision,104TH AVE / SCOTT RD,1,2013,0,0
Fatal/Injury Collision,160TH ST / 16TH AVE,1,2013,0,0
Fatal/Injury Collision,152ND ST / 64TH AVE,1,2013,0,0
Fatal/Injury Collision,FRASER HWY / 152ND ST,1,2013,0,0
Fatal/Injury Collision,76TH AVE / 128TH ST,1,2013,0,0
Fatal/Injury Collision,142ND ST / 18TH AVE,1,2013,0,0
Fatal/Injury Collision,148TH ST / KING GEORGE BOULEVARD STRD,1,2013,0,0
Fatal/Injury Collision,144TH ST / 57TH AVE,1,2013,0,0
Fatal/Injury Collision,103RD AVE / 160TH ST,1,2013,0,0
Fatal/Injury Collision,81ST AVE / 152ND ST,1,2013,0,0
Fatal/Injury Collision,146TH ST / 64TH AVE,1,2013,0,0
Fatal/Injury Collision,84TH AVE / 160TH ST,1,2013,0,0
Fatal/Injury Collision,140TH ST / 32ND AVE,1,2013,0,0
Fatal/Injury Collision,96TH AVE / 120TH ST,1,2013,0,0
Fatal/Injury Collision,128TH ST / 16TH AVE,1,2013,0,0
Fatal/Injury Collision,60TH AVE / 144TH ST,1,2013,0,0
Fatal/Injury Collision,152ND ST / 64TH AVE,1,2013,0,0
Fatal/Injury Collision,132ND ST / 88TH AVE,1,2013,0,0
Fatal/Injury Collision,72ND AVE / 128TH ST,1,2013,0,0
Fatal/Injury Collision,105A AVE / 148TH ST,1,2013,0,0
Fatal/Injury Collision,CROYDON DR / 24TH AVE,1,2013,0,0
Fatal/Injury Collision,60TH AVE / 194A ST,1,2013,0,0
Fatal/Injury Collision,152ND ST / 72ND AVE,1,2013,0,0
Fatal/Injury Collision,FRASER HWY / 176TH ST,1,2013,0,0
Fatal/Injury Collision,92ND AVE / 152ND ST,1,2013,0,0
Fatal/Injury Collision,64TH AVE / KING GEORGE BLVD,1,2013,0,0
Fatal/Injury Collision,KING GEORGE BLVD OFRP / HWY 99,1,2013,0,0
Fatal/Injury Collision,105A AVE / WHALLEY BLVD,1,2013,0,0
